Date,HCLTECH.NS,TATAELXSI.NS,KAYNES.NS,CGPOWER.NS,DIXON.NS,NETWEB.NS,E2E.NS,TATACOMM.NS
2023-09-01,1053.4346923828125,7007.42138671875,1990.9000244140625,420.9512023925781,5050.06787109375,843.50537109375,39.28499984741211,1792.4189453125
2023-09-04,1094.921875,7041.76513671875,1975.699951171875,431.87335205078125,5115.724609375,837.82080078125,40.06999969482422,1821.931396484375
2023-09-05,1097.6309814453125,7124.017578125,1960.9000244140625,434.355712890625,5120.26806640625,842.906982421875,40.869998931884766,1805.5784912109375
2023-09-06,1097.897705078125,7076.783203125,1911.550048828125,428.5470886230469,4991.0517578125,844.502685546875,40.05500030517578,1815.2547607421875
2023-09-07,1114.021728515625,7118.0048828125,1954.8499755859375,445.526123046875,5077.57861328125,840.1146240234375,39.255001068115234,1828.60791015625
2023-09-08,1121.1729736328125,7086.40283203125,2036.800048828125,452.0297546386719,5113.92724609375,836.57421875,38.470001220703125,1824.2052001953125
2023-09-11,1138.49658203125,7120.9873046875,2202.300048828125,448.15740966796875,5171.544921875,843.0067138671875,37.70000076293945,1870.1671142578125
2023-09-12,1139.2515869140625,7087.02783203125,2122.10009765625,437.2848205566406,5033.791015625,833.482666015625,36.95000076293945,1790.8707275390625
2023-09-13,1132.899658203125,6988.4697265625,2008.6500244140625,440.2635803222656,5054.9111328125,818.5233154296875,36.21500015258789,1849.8955078125
2023-09-14,1140.3175048828125,7032.96240234375,2075.300048828125,441.703369140625,5070.88818359375,813.9856567382812,35.4900016784668,1862.184326171875
2023-09-15,1158.9735107421875,6959.849609375,2119.25,433.1145324707031,5051.8154296875,814.334716796875,36.19499969482422,1865.280517578125
2023-09-18,1159.3287353515625,7011.3173828125,2086.75,435.9940185546875,4913.31201171875,806.1569213867188,36.915000915527344,1836.6875
2023-09-20,1149.0238037109375,7024.544921875,2052.449951171875,428.5470886230469,4870.62255859375,808.9494018554688,36.88999938964844,1824.640625
2023-09-21,1135.3427734375,7009.201171875,2067.85009765625,426.4619140625,4842.56298828125,808.201416015625,36.154998779296875,1813.948486328125
2023-09-22,1131.5228271484375,6979.2822265625,2050.14990234375,437.3841247558594,4804.54296875,807.7027587890625,35.435001373291016,1815.2547607421875
2023-09-25,1122.416748046875,6991.6923828125,2119.550048828125,431.3769226074219,4885.62841796875,801.8685913085938,33.810001373291016,1796.5313720703125
2023-09-26,1120.6400146484375,7033.203125,2118.449951171875,434.90179443359375,5094.06103515625,802.0181884765625,34.65999984741211,1815.49658203125
2023-09-27,1120.3292236328125,7024.35302734375,2229.25,434.9514465332031,5281.11083984375,813.0880737304688,36.38999938964844,1814.9161376953125
